,Date,Value
0,2020-01-27,0.0
1,2020-02-03,0.0
2,2020-02-10,0.0
3,2020-02-17,0.0
4,2020-02-24,0.0
5,2020-03-02,0.0
6,2020-03-09,17.0
7,2020-03-16,272.0
8,2020-03-23,1483.0
9,2020-03-30,5031.0
10,2020-04-06,5838.0
11,2020-04-13,4568.0
12,2020-04-20,3244.0
13,2020-04-27,2737.0
14,2020-05-04,2074.0
15,2020-05-11,1357.0
16,2020-05-18,942.0
17,2020-05-25,1189.0
18,2020-06-01,-1625.0
19,2020-06-08,9.0
20,2020-06-15,0.0
21,2020-06-22,1187.0
22,2020-06-29,20.0
23,2020-07-06,42.0
24,2020-07-13,18.0
25,2020-07-20,17.0
26,2020-07-27,12.0
27,2020-08-03,13.0
28,2020-08-10,58.0
29,2020-08-17,114.0
30,2020-08-24,221.0
31,2020-08-31,173.0
32,2020-09-07,407.0
33,2020-09-14,329.0
34,2020-09-21,748.0
35,2020-09-28,737.0
