,lower TOTALE,upper TOTALE
2015-01-31,-99181.1512100728,99181.1512100728
2015-02-28,46128.167779090996,87836.53499678712
2015-03-31,38094.56468205799,79630.26144644176
2015-04-30,36305.26639350147,75081.63091915984
2015-05-31,31974.3135717095,70732.42850776803
2015-06-30,36680.07685043234,65503.297954509
2015-07-31,31806.237974066855,60628.77121316908
2015-08-31,51684.537005015634,76826.58953279635
2015-09-30,42184.09055026514,67307.04940205018
2015-10-31,48046.64439805235,65703.01985575834
2015-11-30,41533.35070918669,58025.69059803775
2015-12-31,55139.359594753485,70089.52956732013
2016-01-31,58633.11731390229,70414.14846190259
2016-02-29,52237.38243417707,62686.93290191097
2016-03-31,50244.13840152687,60559.26695382931
2016-04-30,47147.37070443031,57416.7662711026
2016-05-31,46159.99197089704,56350.41347160484
2016-06-30,46843.278352492656,56704.08872029666
2016-07-31,53453.92378449958,63049.906033164196
2016-08-31,42920.971269599206,52183.82260740653
2016-09-30,42411.90477250163,51613.20957037242
2016-10-31,47279.42653264807,56476.270675015694
2016-11-30,46924.90401606159,56081.623145816346
2016-12-31,54404.73537294344,63410.24136488089
2017-01-31,64606.31116113023,73544.01901775651
2017-02-28,59846.15247012141,68639.16008449614
2017-03-31,53537.11596369687,62290.24112759307
2017-04-30,45012.26630107438,53765.25056052971
2017-05-31,42458.14944548659,51183.022927355676
2017-06-30,43170.8296787055,51806.5330981915
2017-07-31,42454.63049027381,51069.670118205984
2017-08-31,49602.692089730976,58142.12067109844
2017-09-30,42516.1474784019,51026.83910853079
2017-10-31,47933.17673519705,56443.57066657614
2017-11-30,47591.62915497183,56078.64484610656
2017-12-31,53836.992855118835,62266.04998197315
2018-01-31,68234.81253308698,76657.99386942081
2018-02-28,47832.77505278934,56213.26682863204
2018-03-31,55885.87467120743,64245.045035370444
2018-04-30,46493.97212509698,54851.95739424106
2018-05-31,44793.19844786713,53129.80163017085
2018-06-30,44519.83651639807,52817.34631514106
2018-07-31,47648.7337655273,55945.083509157426
2018-08-31,45245.57257922202,53517.10743616904
2018-09-30,41802.3316170541,50058.09501956347
2018-10-31,49337.2330496812,57591.01596223791
2018-11-30,48659.97262332244,56893.17809308292
2018-12-31,54859.46684350772,63066.1807368376
2019-01-31,64582.460385939536,72789.13914496455
2019-02-28,50714.21743941921,58906.449791574894
2019-03-31,57321.366792258275,65502.18153041263
2019-04-30,47291.95723079255,55470.30292965662
2019-05-31,45735.69447922867,53893.75845752176
2019-06-30,46353.81818355418,54494.24605697102
2019-07-31,49890.148367327005,58030.41639666934
2019-08-31,43671.72921043798,51803.73136164425
2019-09-30,43956.259578278536,52080.285907562764
2019-10-31,45656.46928329804,53777.87477614878
2019-11-30,46696.02678183698,54797.301132924105
2019-12-31,51852.57460803747,61477.256051751625
2020-01-31,62529.49588219341,72522.73764994938
2020-02-29,53634.01910354941,63757.89562388311
2020-03-31,54627.55986498807,64754.21442862881
2020-04-30,47814.08368274757,58050.371942384765
2020-05-31,44112.631919498774,56355.560779295236
2020-06-30,44700.75212796584,57369.70878673032
2020-07-31,45401.07111980173,58361.28667049787
2020-08-31,43519.22573890354,56634.63521500386
2020-09-30,40112.636554571596,53296.939442107134
